Temp Delta,Weekday,Avg Date,Date,Name,Number of Records,Prcp,Trails,Traffic,Station,Tmax,Tmin,Time
31,7,6939.571429,3/23/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,4601,USC00410433,80,49,3/23/19 0:00
33,6,6939.571429,3/22/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,7704,USC00410433,79,46,3/22/19 0:00
30,5,6939.571429,3/21/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,7212,USC00410433,75,45,3/21/19 0:00
22,4,6939.571429,3/20/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,10374,USC00410433,71,49,3/20/19 0:00
29,3,6939.571429,3/19/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,6245,USC00410433,72,43,3/19/19 0:00
25,2,6939.571429,3/18/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,6033,USC00410433,68,43,3/18/19 0:00
18,1,6939.571429,3/17/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,6408,USC00410433,62,44,3/17/19 0:00
18,7,6939.571429,3/24/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,78,60,3/24/18 0:00
27,6,6939.571429,3/23/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,78,51,3/23/18 0:00
37,5,6939.571429,3/22/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,77,40,3/22/18 0:00
32,4,6939.571429,3/21/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,72,40,3/21/18 0:00
33,3,6939.571429,3/20/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,79,46,3/20/18 0:00
33,2,6939.571429,3/19/18,"AUSTIN GREAT HILLS, TX US",1,0.33,Butler Trail: North Congress - Urban Trail,,USC00410433,83,50,3/19/18 0:00
16,1,6939.571429,3/18/18,"AUSTIN GREAT HILLS, TX US",1,0.15,Butler Trail: North Congress - Urban Trail,,USC00410433,82,66,3/18/18 0:00
33,7,6939.571429,3/25/17,"AUSTIN GREAT HILLS, TX US",1,0.04,Butler Trail: North Congress - Urban Trail,,USC00410433,81,48,3/25/17 0:00
18,6,6939.571429,3/24/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,82,64,3/24/17 0:00
18,5,6939.571429,3/23/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,81,63,3/23/17 0:00
22,4,6939.571429,3/22/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,83,61,3/22/17 0:00
22,3,6939.571429,3/21/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,83,61,3/21/17 0:00
22,2,6939.571429,3/20/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,83,61,3/20/17 0:00
19,1,6939.571429,3/19/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,82,63,3/19/17 0:00
34,7,6939.571429,3/19/16,"AUSTIN GREAT HILLS, TX US",1,0.1,Butler Trail: North Congress - Urban Trail,,USC00410433,78,44,3/19/16 0:00
12,6,6939.571429,3/18/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,77,65,3/18/16 0:00
22,5,6939.571429,3/17/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,81,59,3/17/16 0:00
32,4,6939.571429,3/16/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,91,59,3/16/16 0:00
42,3,6939.571429,3/15/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,93,51,3/15/16 0:00
33,2,6939.571429,3/14/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,84,51,3/14/16 0:00
19,1,6939.571429,3/13/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: North Congress - Urban Trail,,USC00410433,73,54,3/13/16 0:00
46,7,2702.285714,2/16/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,3751,USC00410433,88,42,2/16/19 0:00
22,6,2702.285714,2/15/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,3370,USC00410433,74,52,2/15/19 0:00
35,5,2702.285714,2/14/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,2668,USC00410433,64,29,2/14/19 0:00
34,4,2702.285714,2/13/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,2527,USC00410433,63,29,2/13/19 0:00
15,3,2702.285714,2/12/19,"AUSTIN GREAT HILLS, TX US",1,0.04,Butler Trail: South Lamar - Urban Trail,2907,USC00410433,60,45,2/12/19 0:00
13,2,2702.285714,2/11/19,"AUSTIN GREAT HILLS, TX US",1,0.02,Butler Trail: South Lamar - Urban Trail,1709,USC00410433,51,38,2/11/19 0:00
7,1,2702.285714,2/10/19,"AUSTIN GREAT HILLS, TX US",1,0.09,Butler Trail: South Lamar - Urban Trail,1984,USC00410433,40,33,2/10/19 0:00
18,7,2702.285714,2/17/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,69,51,2/17/18 0:00
12,6,2702.285714,2/16/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,73,61,2/16/18 0:00
23,5,2702.285714,2/15/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,70,47,2/15/18 0:00
9,4,2702.285714,2/14/18,"AUSTIN GREAT HILLS, TX US",1,0.03,Butler Trail: South Lamar - Urban Trail,,USC00410433,47,38,2/14/18 0:00
15,3,2702.285714,2/13/18,"AUSTIN GREAT HILLS, TX US",1,0.09,Butler Trail: South Lamar - Urban Trail,,USC00410433,43,28,2/13/18 0:00
13,2,2702.285714,2/12/18,"AUSTIN GREAT HILLS, TX US",1,0.04,Butler Trail: South Lamar - Urban Trail,,USC00410433,41,28,2/12/18 0:00
29,1,2702.285714,2/11/18,"AUSTIN GREAT HILLS, TX US",1,0.01,Butler Trail: South Lamar - Urban Trail,,USC00410433,59,30,2/11/18 0:00
25,7,2702.285714,2/18/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,74,49,2/18/17 0:00
32,6,2702.285714,2/17/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,68,36,2/17/17 0:00
28,5,2702.285714,2/16/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,62,34,2/16/17 0:00
14,4,2702.285714,2/15/17,"AUSTIN GREAT HILLS, TX US",1,0.02,Butler Trail: South Lamar - Urban Trail,,USC00410433,53,39,2/15/17 0:00
29,3,2702.285714,2/14/17,"AUSTIN GREAT HILLS, TX US",1,0.87,Butler Trail: South Lamar - Urban Trail,,USC00410433,76,47,2/14/17 0:00
15,2,2702.285714,2/13/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,75,60,2/13/17 0:00
18,1,2702.285714,2/12/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail: South Lamar - Urban Trail,,USC00410433,83,65,2/12/17 0:00
25,7,168.5714286,8/10/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,203,USC00410433,102,77,8/10/19 0:00
24,6,168.5714286,8/9/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,213,USC00410433,101,77,8/9/19 0:00
23,5,168.5714286,8/8/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,205,USC00410433,100,77,8/8/19 0:00
23,4,168.5714286,8/7/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,201,USC00410433,99,76,8/7/19 0:00
23,3,168.5714286,8/6/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,237,USC00410433,97,74,8/6/19 0:00
18,2,168.5714286,8/5/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,221,USC00410433,91,73,8/5/19 0:00
21,1,168.5714286,8/4/19,"AUSTIN GREAT HILLS, TX US",1,0.43,Shoal Creek Trail & 24th St- Urban Trail,180,USC00410433,94,73,8/4/19 0:00
22,7,168.5714286,8/11/18,"AUSTIN GREAT HILLS, TX US",1,0.04,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,94,72,8/11/18 0:00
25,6,168.5714286,8/10/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,99,74,8/10/18 0:00
26,5,168.5714286,8/9/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,100,74,8/9/18 0:00
24,4,168.5714286,8/8/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,99,75,8/8/18 0:00
25,3,168.5714286,8/7/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,99,74,8/7/18 0:00
23,2,168.5714286,8/6/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,97,74,8/6/18 0:00
25,1,168.5714286,8/5/18,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,98,73,8/5/18 0:00
24,7,168.5714286,8/12/17,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,114,USC00410433,96,72,8/12/17 0:00
25,6,168.5714286,8/11/17,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,122,USC00410433,96,71,8/11/17 0:00
20,5,168.5714286,8/10/17,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,147,USC00410433,91,71,8/10/17 0:00
16,4,168.5714286,8/9/17,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,166,USC00410433,87,71,8/9/17 0:00
11,3,168.5714286,8/8/17,"AUSTIN GREAT HILLS, TX US",1,0.73,Shoal Creek Trail & 24th St- Urban Trail,201,USC00410433,80,69,8/8/17 0:00
30,2,168.5714286,8/7/17,"AUSTIN GREAT HILLS, TX US",1,1.44,Shoal Creek Trail & 24th St- Urban Trail,56,USC00410433,98,68,8/7/17 0:00
